Conference,Type,Title,In Charge,Presentation year
ICSE,F,MARQ: Engineering Mission-Critical AI-based Software with Automated Result Quality Adaptation,,
ICSE,F,Measuring the Runtime Performance of C++ Code Written by Humans using GitHub Copilot,,
ICSE,F,Metamorphic-Based Many-Objective Distillation of LLMs for Code-related Tasks,,
ICSE,F,Mobile Application Coverage: The 30% Curse and Ways Forward,,
ICSE,F,Mock Deep Testing: Toward Separate Development of Data and Models for Deep Learning,,
ICSE,F,Model Editing for LLMs4Code: How Far are We?,,
ICSE,F,Module-Aware Context Sensitive Pointer Analysis,,
ICSE,F,Moye: A Wallbreaker for Monolithic Firmware,,
ICSE,F,Navigating the Testing of Evolving Deep Learning Systems: An Exploratory Interview Study,,
ICSE,F,Neurosymbolic Modular Refinement Type Inference,,
ICSE,F,NIODebugger: A Novel Approach to Repair Non-Idempotent-Outcome Tests with LLM-Based Agent,,
ICSE,F,No Harness, No Problem: Oracle-guided Harnessing for Auto-generating C API Fuzzing Harnesses,,
ICSE,F,On Prescription or Off Prescription? An Empirical Study of Community-prescribed Security Configurations for Kubernetes,,
ICSE,F,On the Mistaken Assumption of Interchangeable Deep Reinforcement Learning Implementations,,
ICSE,F,PacDroid: A Pointer-Analysis-Centric Framework for Security Vulnerabilities in Android Apps,,
ICSE,F,PairSmell: A Novel Perspective Inspecting Software Modular Structure,,
ICSE,F,Parametric Falsification of Many Probabilistic Requirements under Flakiness,,
ICSE,F,Patch Synthesis for Property Repair of Deep Neural Networks,,
ICSE,F,Pattern-based Generation and Adaptation of Quantum Workflows,,
ICSE,F,Planning a Large Language Model for Static Detection of Runtime Errors in Code Snippets,,
ICSE,F,Practical Object-Level Sanitizer With Aggregated Memory Access and Custom Allocator,,
ICSE,F,Preserving Privacy in Software Composition Analysis: A Study of Technical Solutions and Enhancements,,
ICSE,F,µPRL: a Mutation Testing Pipeline for Deep Reinforcement Learning based on Real Faults,,
ICSE,F,Prompt-to-SQL Injections in LLM-Integrated Web Applications: Risks and Defenses,,
ICSE,F,Puppy: Finding Performance Degradation Bugs in DBMSs via Limited-Optimization Plan Construction,,
